epoch,train_loss,train_acc,val_acc,val_macro_f1,lr
1,0.35082551904421283,0.9504938271604938,0.9940740740740741,0.9940770714046572,0.00033640355165179487
2,0.1735304806310944,0.9934362139917695,0.997037037037037,0.997036564782202,0.0004436509198325646
3,0.16661644862512504,0.9941769547325103,0.9972222222222222,0.9972219104897407,0.0006159581266058831
4,0.16107979026105668,0.9951028806584362,0.9966666666666667,0.996667841131597,0.0008440324396728634
5,0.1577518062042111,0.9957407407407407,0.9974074074074074,0.9974078513952676,0.0011155735404613841
6,0.15607143254437073,0.9958230452674897,0.9964814814814815,0.9964849074443336,0.0014159368949149416
7,0.15326806589409156,0.9965020576131687,0.9975925925925926,0.9975919619136069,0.0017289235506066378
8,0.15238619969214923,0.9963991769547325,0.9974074074074074,0.9974115201378247,0.0020376537654819603
9,0.14978514779006502,0.9969958847736625,0.9977777777777778,0.9977786951027997,0.002325477352394712
10,0.150097495722182,0.9965432098765432,0.9972222222222222,0.9972231315796647,0.002576871643474104
11,0.14878947735568623,0.9968518518518519,0.9974074074074074,0.9974081515387877,0.002778278646038246
12,0.14715208806864027,0.9972839506172839,0.9981481481481481,0.9981486055931226,0.0029188362412413942
13,0.14735890314412214,0.9968312757201646,0.9962962962962963,0.9962999441286198,0.002990963991043505
14,0.14735733813954968,0.9966460905349794,0.9975925925925926,0.9975928914578281,0.0029996806219548693
15,0.14426382440353128,0.9976131687242799,0.9985185185185185,0.9985186671927023,0.0029971464325367955
16,0.14330731799327787,0.997798353909465,0.9975925925925926,0.9975938103772994,0.0029920889802128687
17,0.14366928037301993,0.9976954732510288,0.9974074074074074,0.9974093861727956,0.0029845167929918245
18,0.14408519768175274,0.9974485596707819,0.9979629629629629,0.9979649541567803,0.0029744426392943266
19,0.14316496735001788,0.9976131687242799,0.9968518518518519,0.996853968201706,0.0029618835064225226
20,0.14262444172376468,0.9975925925925926,0.997037037037037,0.9970411452476827,0.002946860571915611
21,0.14192448199285893,0.9978600823045267,0.9977777777777778,0.9977799225204405,0.0029293991678397166
22,0.14201771803108262,0.9979218106995885,0.9979629629629629,0.9979638825944946,0.002909528738072297
23,0.14146492121396242,0.9975720164609053,0.9987037037037036,0.9987032351989608,0.0028872827886531056
24,0.14157405180695617,0.9977366255144033,0.9981481481481481,0.9981484485630516,0.0028626988312854297
25,0.14057202352908413,0.9980246913580247,0.9977777777777778,0.9977789973309261,0.0028358183200828673
26,0.14089769584651837,0.997798353909465,0.9977777777777778,0.9977785450101627,0.0028066865816683204
27,0.1396032193707831,0.9982510288065843,0.9974074074074074,0.9974089354631993,0.0027753527387430503
28,0.13953732682353676,0.9984567901234568,0.9981481481481481,0.9981493736169705,0.0027418696272546923
29,0.1394150418018608,0.9983127572016461,0.9972222222222222,0.9972243563433254,0.0027062937073038945
30,0.1389679367503021,0.998559670781893,0.9977777777777778,0.9977788481538999,0.0026686849679398166
31,0.13886172580375594,0.9983539094650206,0.9974074074074074,0.9974089320153782,0.0026291068260050213
32,0.1389502275259897,0.9984156378600823,0.9981481481481481,0.9981484513922972,0.0025876260192003314
33,0.1394480882971375,0.9980246913580247,0.9977777777777778,0.9977791566668446,0.0025443124935499674
